start,end,speaker
6.42659375,15.539093750000003,SPEAKER_00
15.67409375,17.59784375,SPEAKER_00
17.90159375,19.082843750000002,SPEAKER_00
20.348468750000002,22.30596875,SPEAKER_01
22.62659375,27.48659375,SPEAKER_00
27.891593750000002,33.24096875,SPEAKER_00
34.74284375,36.36284375,SPEAKER_01
37.510343750000004,44.12534375,SPEAKER_01
44.47971875,54.064718750000004,SPEAKER_01
54.85784375,56.14034375000001,SPEAKER_01
57.67596875,64.20659375000001,SPEAKER_01
64.78034375,70.87221875,SPEAKER_01
71.31096875,75.93471875,SPEAKER_01
76.12034375,79.56284375,SPEAKER_01
79.91721875,80.52471875,SPEAKER_01
81.38534375,98.32784375,SPEAKER_01
100.33596875,101.06159375,SPEAKER_00
101.06159375,101.19659375,SPEAKER_01
102.09096875,110.98409375000001,SPEAKER_01
112.06409375000001,113.90346875,SPEAKER_01
114.29159375,117.09284375000001,SPEAKER_01
117.27846875,119.97846875,SPEAKER_01
